orig_name,new_name
Abruzzo,drop
Alberta,drop
Andalucia,drop
Aragon,drop
Asturias,drop
Baden-Wurttemberg,drop
Balearic Islands,drop
Basilicata,drop
Basque Country,drop
Basque County,drop
Bavaria,drop
Berlin,drop
Bolivia (Plurinational State of),Bolivia
Brandenburg,drop
Bremen,drop
British Columbia,drop
Cabo Verde,Cape Verde
Calabria,drop
Campania,drop
Canary Islands,drop
Cantabria,drop
Castile and Leon,drop
Castilla-La Mancha,drop
Catalonia,drop
Ceara,drop
Ceuta,drop
Community of Madrid,drop
Czechia,Czech Republic
Emilia-Romagna,drop
Extremadura,drop
Friuli-Venezia Giulia,drop
Galicia,drop
Gambia,drop
Hamburg,drop
Hesse,drop
Kosovo,drop
Kyrgyz Republic,Kyrgyzstan
La Rioja,drop
Lazio,drop
Liguria,drop
Lombardia,drop
Lower Saxony,drop
Maranhao,drop
Marche,drop
Mecklenburg-Vorpommern,drop
Melilla,drop
Mexico City,drop
Mexico_country,Mexico
Molise,drop
Murcia,drop
Navarre,drop
North Macedonia,Macedonia
North Rhine-Westphalia,drop
Ontario,drop
Parana,drop
Piemonte,drop
Provincia autonoma di Bolzano,drop
Provincia autonoma di Trento,drop
Puglia,drop
Quebec,drop
Republic of Korea,South Korea
Republic of Moldova,Moldova
Republic of the Congo,Congo
Rhineland-Palatinate,drop
Russia,Russian Federation
Saarland,drop
San Marino,drop
Sao Paulo,drop
Sardegna,drop
Saxony,drop
Saxony-Anhalt,drop
Schleswig-Holstein,drop
Sicilia,drop
State of Mexico,drop
State of Palestine,Palestine
Thuringia,drop
Toscana,drop
Umbria,drop
United States of America,United States
Valencian Community,drop
Valle d'Aosta,drop
Veneto,drop
Mexico State,drop
AS,American Samoa
DC,District of Columbia
GU,Guam
MP,Northern Mariana Islands
PR,Puerto Rico
VI,"Virgin Islands, U.S."
Virgin Islands,"Virgin Islands, U.S."
Republic of Congo,Congo
US,United States
Eswatini,Swaziland
"Korea, South",South Korea
Congo (Brazzaville),Congo
Congo (Kinshasa),Democratic Republic of the Congo
Democratic Republic of Congo,Democratic Republic of the Congo
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Connecticut
DE,Delaware
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
Distrito Federal,drop
"King and Snohomish Counties (excluding Life Care Center), WA",drop
"Life Care Center, Kirkland, WA",drop
"Other Counties, WA",drop
Amapa,drop
Azad Jammu & Kashmir,drop
Baden-W칲rttemberg,drop
Bahamas,drop
Balochistan,drop
Brunei Darussalam,Brunei
Castile and Le칩n,drop
C뗪e d'Ivoire,Cote d'Ivoire
Espirito Santo,drop
Georgia_two,Georgia (Country)
Gilgit-Baltistan,drop
Goias,drop
Iran (Islamic Republic of),Iran
Islamabad Capital Territory,drop
Khyber Pakhtunkhwa,drop
Manitoba,drop
Mexico_two,drop
Michoacan de Ocampo,drop
New Brunswick,drop
Newfoundland and Labrador,drop
None,drop
Northwest Territories,drop
Nova Scotia,drop
Nuevo Leon,drop
Nunavut,drop
Para,drop
Paraiba,drop
Prince Edward Island,drop
Queretaro,drop
Rondonia,drop
San Luis Potosi,drop
Saskatchewan,drop
Sindh,drop
Syrian Arab Republic,Syria
United States Virgin Islands,"Virgin Islands, U.S."
Venezuela (Bolivarian Republic of),Venezuela
Yucatan,drop
Yukon,drop
Acre,drop
Aguascalientes,drop
Alagoas,drop
Amap치,drop
Amazonas,drop
Bahia,drop
Baja California,drop
Baja California Sur,drop
Campeche,drop
Cear치,drop
Chiapas,drop
Chihuahua,drop
Coahuila,drop
Colima,drop
Durango,drop
Esp칤rito Santo,drop
Goi치s,drop
Guanajuato,drop
Guerrero,drop
Hidalgo,drop
Jalisco,drop
Maranh칚o,drop
Mato Grosso,drop
Mato Grosso do Sul,drop
Michoac치n de Ocampo,drop
Minas Gerais,drop
Monaco,drop
Morelos,drop
M칠xico,drop
Nayarit,drop
Nuevo Le칩n,drop
Oaxaca,drop
Paran치,drop
Para칤ba,drop
Par치,drop
Pernambuco,drop
Piaui,drop
Puebla,drop
Punjab,drop
Quer칠taro,drop
Quintana Roo,drop
Rio Grande do Norte,drop
Rio Grande do Sul,drop
Rio de Janeiro,drop
Rond칪nia,drop
Roraima,drop
San Luis Potos칤,drop
Santa Catarina,drop
Sergipe,drop
Sinaloa,drop
Sonora,drop
S칚o Paulo,drop
Tabasco,drop
Tamaulipas,drop
Tlaxcala,drop
Tocantins,drop
Veracruz de Ignacio de la Llave,drop
Yucat치n,drop
Zacatecas,drop
Burma,Myanmar
Diamond Princess,drop
Grand Princess,drop
Holy See,drop
Liechtenstein,drop
MS Zaandam,drop
Saint Kitts and Nevis,drop
Taiwan*,Taiwan
West Bank and Gaza,drop
Western Sahara,drop
